韋	韦
韌	韧
韓	韩
韕	鞋
韙	韪
韜	韬
韝	鞲鞒
韞	靴韫
韮	韭
韲	齑
韻	韵
響	响
頁	页
頂	顶
頃	顷
項	项
順	顺
頇	顸
須	须
頊	顼
頌	颂
頎	颀
頏	颃
頫	俯
頭	头
頰	颊预
頱	顽
頲	颁
頳	顿
頷	颔颇
頸	颈领
頹	颓
頻	频
頼	颌
頾	髭
顁	颉
顄	颐
顆	颗颏
顋	腮
題	题
額	额
顎	颚
顓	颛
顔	颜
顙	颡
顛	颠
類	类
顢	颟
顥	颢
顦	憔
顧	顾
顫	颤
顬	颥
顯	显
颼	飕
颽	颦
颾	颅
飀	颞
飁	颧
飄	飘
飆	飙
飈	飚风
飏	飑
飐	飒
飛	飞
飜	翻
飠	飓
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飱	餐飧
飲	饮
飴	饴
飼	饲
飽	饱
飾	饰
餃	饺
餅	饼
餈	糍
餧	喂
館	馆
餫	饷
餬	养
餯	饵
餱	糇
餲	饽
餳	馁饧
餴	饿
餷	馇
餺	馻
餻	糕肴
餼	馄饩
餾	馏
餿	饯馊
饂	馅
饃	馍
饅	馒
饈	馐
饉	馑
饊	馓
饋	馈
饌	馔
饍	膳
饑	饥
饒	饶
饗	飨
饞	馋
饢	馕
駁	驳
駌	马
駍	驭
駎	冯
駐	驻
駑	驽驮
駒	驹
駓	驰
駔	驯驵
駕	驾
駘	骀
駙	驸
駛	驶
駝	驼
駟	驷
駡	骂
駢	骈
駭	骇
駱	骆
騖	骛鹜
騙	骗
騟	骏
騡	骋
騥	骓
騫	骞
騭	骒骘
騮	骝骑
騯	骐
騰	腾
騶	驺
騷	骚
騸	骟
騾	骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	骢
驅	驱
驊	骅
驍	骁
驕	骄
驗	验
驚	惊
骯	肮驿
骵	骤
骽	驴
骿	骧
髃	骥
髈	膀
髉	骊
髊	髏骴
髏	髅
髕	髌
髖	髋
髥	髯
髨	髡
髰	剃
鬆	松
鬧	闹
鬩	阋
鬭	鬃
鬮	阄
鬽	魅
魊	蜮
魎	魉
魒	鬓
魕	斗
魘	魇
魚	鱼
魯	鲁
魴	鲂
魷	鱿
鮚	鲒
鮝	鲞
鮞	鲕
鮡	鲅
鮣	鲆
鮪	鲌鲔
鮫	鲛
鮭	鲑
鮮	鲇鲜
鮰	鲐
鮱	鲍
鮲	鲋
鯀	鲧
鯁	鲠
鯇	鲩
鯉	鲤
鯊	鲨
鯔	鲻
鯖	鲭
鯛	鲷
鯽	鲴鲫
鯿	鳊
鰁	鲱
鰂	鲵
鰄	鲲
鰇	鲳
鰈	鲽鲸
鰉	鳇
鰊	鲮
鰋	鲰
鰍	鳅
鰏	鲾
鰐	鳄
鰒	鳆
鰓	鳃
